AFAfghanistan                                       afghanistan                                       
ALAlbania                                           albania                                           
DZAlgeria                                           algeria                                           
ADAndorra                                           andorra                                           
AOAngola                                            angola                                            
AGAntigua and Barbuda                               antigua-and-barbuda                               
ARArgentina                                         argentina                                         
AMArmenia                                           armenia                                           
AUAustralia                                         australia                                         
ATAustria                                           austria                                           
AZAzerbaijan                                        azerbaijan                                        
BSBahamas                                           bahamas                                           
BHBahrain                                           bahrain                                           
BDBangladesh                                        bangladesh                                        
BBBarbados                                          barbados                                          
BYBelarus                                           belarus                                           
BEBelgium                                           belgium                                           
BZBelize                                            belize                                            
BJBenin                                             benin                                             
BTBhutan                                            bhutan                                            
BOBolivia                                           bolivia                                           
BABosnia and Herzegovina                            bosnia-and-herzegovina                            
BWBotswana                                          botswana                                          
BRBrazil                                            brazil                                            
BNBrunei Darussalam                                 brunei                                            
BGBulgaria                                          bulgaria                                          
BFBurkina Faso                                      burkina-faso                                      
BIBurundi                                           burundi                                           
KHCambodia                                          cambodia                                          
CMCameroon                                          cameroon                                          
CACanada                                            canada                                            
CVCape Verde                                        cape-verde                                        
CFCentral African Republic                          central-african-republic                          
TDChad                                              chad                                              
CLChile                                             chile                                             
CNChina                                             china                                             
COColombia                                          colombia                                          
KMComoros                                           comoros                                           
CGCongo (Brazzaville)                               congo-brazzaville                                 
CDCongo (Kinshasa)                                  congo-kinshasa                                    
CRCosta Rica                                        costa-rica                                        
HRCroatia                                           croatia                                           
CUCuba                                              cuba                                              
CYCyprus                                            cyprus                                            
CZCzech Republic                                    czech-republic                                    
CICôte d'Ivoire                                    cote-divoire                                      
DKDenmark                                           denmark                                           
DJDjibouti                                          djibouti                                          
DMDominica                                          dominica                                          
DODominican Republic                                dominican-republic                                
ECEcuador                                           ecuador                                           
EGEgypt                                             egypt                                             
SVEl Salvador                                       el-salvador                                       
GQEquatorial Guinea                                 equatorial-guinea                                 
EREritrea                                           eritrea                                           
EEEstonia                                           estonia                                           
ETEthiopia                                          ethiopia                                          
FJFiji                                              fiji                                              
FIFinland                                           finland                                           
FRFrance                                            france                                            
GAGabon                                             gabon                                             
GMGambia                                            gambia                                            
GEGeorgia                                           georgia                                           
DEGermany                                           germany                                           
GHGhana                                             ghana                                             
GRGreece                                            greece                                            
GDGrenada                                           grenada                                           
GTGuatemala                                         guatemala                                         
GNGuinea                                            guinea                                            
GWGuinea-Bissau                                     guinea-bissau                                     
GYGuyana                                            guyana                                            
HTHaiti                                             haiti                                             
VAHoly See (Vatican City State)                     holy-see-vatican-city-state                       
HNHonduras                                          honduras                                          
HUHungary                                           hungary                                           
ISIceland                                           iceland                                           
INIndia                                             india                                             
IDIndonesia                                         indonesia                                         
IRIran Islamic Republic of                          iran                                              
IQIraq                                              iraq                                              
IEIreland                                           ireland                                           
ILIsrael                                            israel                                            
ITItaly                                             italy                                             
JMJamaica                                           jamaica                                           
JPJapan                                             japan                                             
JOJordan                                            jordan                                            
KZKazakhstan                                        kazakhstan                                        
KEKenya                                             kenya                                             
KIKiribati                                          kiribati                                          
KRKorea (South)                                     korea-south                                       
KWKuwait                                            kuwait                                            
KGKyrgyzstan                                        kyrgyzstan                                        
LALao PDR                                           lao-pdr                                           
LVLatvia                                            latvia                                            
LBLebanon                                           lebanon                                           
LSLesotho                                           lesotho                                           
LRLiberia                                           liberia                                           
LYLibya                                             libya                                             
LILiechtenstein                                     liechtenstein                                     
LTLithuania                                         lithuania                                         
LULuxembourg                                        luxembourg                                        
MKMacedonia Republic of                             macedonia                                         
MGMadagascar                                        madagascar                                        
MWMalawi                                            malawi                                            
MYMalaysia                                          malaysia                                          
MVMaldives                                          maldives                                          
MLMali                                              mali                                              
MTMalta                                             malta                                             
MHMarshall Islands                                  marshall-islands                                  
MRMauritania                                        mauritania                                        
MUMauritius                                         mauritius                                         
MXMexico                                            mexico                                            
FMMicronesia Federated States of                    micronesia                                        
MDMoldova                                           moldova                                           
MCMonaco                                            monaco                                            
MNMongolia                                          mongolia                                          
MEMontenegro                                        montenegro                                        
MAMorocco                                           morocco                                           
MZMozambique                                        mozambique                                        
MMMyanmar                                           myanmar                                           
NANamibia                                           namibia                                           
NPNepal                                             nepal                                             
NLNetherlands                                       netherlands                                       
