Record ID,Date,INA,<22,22-24,25-34,35-44,45-54,55-59,60-64,>=65
08012011,08/01/2011,56,1665,3558,15074,13835,15232,5859,3879,2906
07012011,07/01/2011,58,1609,3768,15999,14954,16600,6318,4291,3224
09012011,09/01/2011,51,1639,3170,13500,11949,13051,4987,3158,1976
02012012,02/01/2012,51,1400,3702,15728,14101,15917,6131,3843,3092
10012011,10/01/2011,58,1578,3120,12590,11166,12481,4681,2862,1818
11012011,11/01/2011,53,2142,3799,14715,12926,14104,5313,3175,2109
12012011,12/01/2011,64,2036,3662,14487,12946,14113,5310,3119,2188
01012012,01/01/2012,50,1466,3836,16666,15051,16808,6483,4152,3469
03012012,03/01/2012,47,1178,3084,13401,12476,14052,5370,3390,2647
06012012,06/01/2012,39,1119,2569,11380,11266,12841,5115,3220,2611
07012012,07/01/2012,30,1201,2907,12406,12214,13566,5418,3484,2764
05012012,05/01/2012,40,1125,2660,11487,10874,12004,4584,2799,1864
04012012,04/01/2012,38,1056,2639,11820,10734,12112,4705,2870,1968
08012012,08/01/2012,37,1353,2913,11834,10917,12161,4792,2899,1974
09012012,09/01/2012,37,1337,2676,11358,10544,11942,4642,2751,1641
10012012,10/01/2012,42,1206,2448,10251,9281,10158,3911,2396,1508
11012012,11/01/2012,32,1112,2139,9165,8172,9486,3719,2252,1556
12012012,12/01/2012,85,1806,3288,13026,11693,12909,5012,2916,1932
01012013,01/01/2013,41,1263,3569,15857,14485,16250,6749,4215,3313
02012013,02/01/2013,44,1110,3132,13892,12818,13868,5828,3579,2932
04012013,04/01/2013,32,853,2331,10610,9974,11116,4416,2868,1763
05012013,05/01/2013,40,749,2102,9704,8895,10080,4158,2730,1676
06012013,06/01/2013,0,809,2350,10450,9914,11303,4834,3183,2536
07012013,07/01/2013,53,966,2393,10648,10409,11784,5163,3262,2551
08012013,08/01/2013,44,933,2381,10367,10131,11284,4715,2955,2009
09012013,09/01/2013,37,920,2234,9434,8705,9441,4011,2373,1463
10012013,10/01/2013,29,864,2078,8977,8330,8961,3789,2226,1375
11012013,11/01/2013,40,1068,2355,10015,9166,9876,4019,2434,1621
12012013,12/01/2013,43,1241,2626,11591,10548,11325,4611,2660,1796
01012014,01/01/2014,2,1063,2963,14279,13606,14678,6468,3984,3127
02012014,02/01/2014,0,1075,2937,14149,13547,15003,6722,3978,3117
03012014,03/01/2014,0,777,2230,10953,10911,11947,5166,3282,2225
04012014,04/01/2014,0,638,1765,8795,8380,9309,4131,2536,1543
05012014,05/01/2014,1,693,1825,8184,8016,8859,3792,2395,1446
06012014,06/01/2014,3,689,1866,8645,8596,9756,4206,2826,2211
07012014,07/01/2014,2,696,1917,8988,8870,9812,4360,2833,2220
08012014,08/01/2014,2,737,1785,8484,8011,8712,3829,2427,1826
09012014,09/01/2014,1,683,1644,7647,7303,7911,3500,1989,1297
10012014,10/01/2014,1,675,1683,7389,6967,7381,3263,1954,1292
11012014,11/01/2014,1,767,1714,7727,7275,7795,3437,2099,1442
12012014,12/01/2014,0,912,1987,8773,7977,8735,3806,2218,1591
01012015,01/01/2015,0,753,2368,11505,11333,11856,5541,3422,2689
02012015,02/01/2015,2,841,2182,10792,10392,11699,5214,3202,2494
03012015,03/01/2015,0,593,1741,9107,9034,9925,4564,2815,1996
04012015,04/01/2015,0,416,1283,7034,6816,7477,3515,2133,1347
05012015,05/01/2015,0,402,1144,6467,6180,6881,3259,2128,1267
06012015,06/01/2015,0,500,1293,7169,7145,8184,3870,2583,2106
07012015,07/01/2015,0,509,1343,7219,7650,8369,3929,2631,2189
08012015,08/01/2015,0,580,1337,7461,7439,7940,3651,2444,1844
09012015,09/01/2015,0,551,1177,6209,6089,6374,2980,1898,1134
10012015,10/01/2015,3,507,1141,5643,5701,5958,2768,1764,1096
11012015,11/01/2015,1,596,1190,6226,5808,6367,2881,1788,1190
01012016,01/01/2016,2,734,1866,9426,9241,9975,4855,3082,2546
02012016,02/01/2016,1,782,1915,9873,9423,9781,4824,3008,2368
03012016,03/01/2016,0,440,1242,7343,7257,7513,3716,2386,1667
04012016,04/01/2016,0,258,838,5151,5193,5378,2655,1742,993
05012016,05/01/2016,1,343,1106,5431,5250,5552,2653,1613,920
