Record ID,Date,INA,Hispanic or Latino,Not Hispanic or Latino
08012011,08/01/2011,29811,942,31311
07012011,07/01/2011,32343,1018,33460
09012011,09/01/2011,25168,809,27504
02012012,02/01/2012,19169,1530,43266
10012011,10/01/2011,24446,741,25167
11012011,11/01/2011,28089,837,29410
12012011,12/01/2011,27259,906,29760
01012012,01/01/2012,25327,1355,41299
03012012,03/01/2012,14966,1314,39365
06012012,06/01/2012,12263,1165,36732
07012012,07/01/2012,12469,1243,40278
05012012,05/01/2012,11196,1093,35148
04012012,04/01/2012,11370,1113,35459
08012012,08/01/2012,9997,1137,37746
09012012,09/01/2012,10079,1068,35781
10012012,10/01/2012,7060,980,33161
11012012,11/01/2012,7178,915,29540
12012012,12/01/2012,10209,1319,41139
01012013,01/01/2013,11587,1648,52507
02012013,02/01/2013,9061,1605,46537
04012013,04/01/2013,6328,1197,36438
05012013,05/01/2013,5867,953,33314
06012013,06/01/2013,7351,1085,36943
07012013,07/01/2013,7866,1173,38190
08012013,08/01/2013,7961,1083,35775
09012013,09/01/2013,5551,984,32083
10012013,10/01/2013,5204,936,30489
11012013,11/01/2013,5753,1039,33802
12012013,12/01/2013,6923,1220,38298
01012014,01/01/2014,8356,1684,50130
02012014,02/01/2014,8140,1709,50679
03012014,03/01/2014,6854,1251,39386
04012014,04/01/2014,4756,921,31420
05012014,05/01/2014,4814,1000,29397
06012014,06/01/2014,6550,1258,30990
07012014,07/01/2014,7513,1310,30875
08012014,08/01/2014,6901,1212,27700
09012014,09/01/2014,6847,1071,24057
10012014,10/01/2014,6319,1010,23276
11012014,11/01/2014,6233,1171,24853
12012014,12/01/2014,6611,1321,28067
01012015,01/01/2015,9232,1928,38307
02012015,02/01/2015,9518,1896,35404
03012015,03/01/2015,7361,1588,30826
04012015,04/01/2015,6180,1135,22706
05012015,05/01/2015,5365,1030,21333
06012015,06/01/2015,6803,1240,24807
07012015,07/01/2015,7259,1218,25362
08012015,08/01/2015,6974,1154,24568
09012015,09/01/2015,5478,967,19967
10012015,10/01/2015,4669,916,18996
11012015,11/01/2015,4477,1007,20563
01012016,01/01/2016,7464,1762,32501
02012016,02/01/2016,6666,1919,33390
03012016,03/01/2016,5247,1345,24972
04012016,04/01/2016,3983,920,17305
05012016,05/01/2016,5478,921,16470
06012016,06/01/2016,4967,1003,19434
08012016,08/01/2016,5511,1346,24687
09012016,09/01/2016,4085,1059,19745
12012016,12/01/2016,4221,1191,23429
01012017,01/01/2017,5584,1676,30172
02012017,02/01/2017,5938,1490,27230
03012017,03/01/2017,5276,1281,23558
04012017,04/01/2017,4185,952,18957
05012017,05/01/2017,4093,960,18388
06012017,06/01/2017,5113,1108,21465
07012017,07/01/2017,6301,1308,24232
08012017,08/01/2017,5277,1106,21902
09012017,09/01/2017,3798,843,16104
10012017,10/01/2017,5263,1044,18825
11012017,11/01/2017,5205,1022,18631
12012017,12/01/2017,4567,1085,20658
01012018,01/01/2018,6026,1632,29326
02012018,02/01/2018,5573,1464,25965
03012018,03/01/2018,4660,1133,20438
04012018,04/01/2018,3907,926,16995
05012018,05/01/2018,5109,983,17478
06012018,06/01/2018,4491,997,18918
07012018,07/01/2018,5136,1109,20878
08012018,08/01/2018,3874,857,16703
09012018,09/01/2018,3367,755,14006
10012018,10/01/2018,3251,816,14162
11012018,11/01/2018,3431,815,14719
12012018,12/01/2018,4229,1105,17480
01012019,01/01/2019,5378,1562,23954
07012019,07/01/2019,4790,1227,18828
08012019,08/01/2019,3534,864,14614
11012019,11/01/2019,3540,681,14270
12012019,12/01/2019,3558,792,15760
01012020,01/01/2020,5582,1188,22904
02012020,02/01/2020,4600,1146,21727
03012020,03/01/2020,3535,882,17826
04012020,04/01/2020,44365,11017,206263
05012020,05/01/2020,42996,11448,204834
