Record ID,Date,INA,FEMALE,MALE
08012011,08/01/2011,51,32985,29028
07012011,07/01/2011,38,35518,31265
09012011,09/01/2011,57,26319,27105
02012012,02/01/2012,65,24066,39834
10012011,10/01/2011,55,24269,26030
11012011,11/01/2011,73,26456,31807
12012011,12/01/2011,70,23336,34519
01012012,01/01/2012,78,26504,41399
03012012,03/01/2012,72,22685,32888
06012012,06/01/2012,57,25860,24243
07012012,07/01/2012,56,28036,25898
05012012,05/01/2012,74,21167,26196
04012012,04/01/2012,78,20795,27069
08012012,08/01/2012,56,24379,24445
09012012,09/01/2012,48,21540,25340
10012012,10/01/2012,43,19391,21767
11012012,11/01/2012,52,16369,21212
12012012,12/01/2012,76,21506,31085
01012013,01/01/2013,83,25363,40296
02012013,02/01/2013,61,21590,35552
04012013,04/01/2013,57,18591,25315
05012013,05/01/2013,42,19148,20944
06012013,06/01/2013,40,24656,20683
07012013,07/01/2013,49,25869,21311
08012013,08/01/2013,46,23344,21429
09012013,09/01/2013,61,19227,19330
10012013,10/01/2013,52,18157,18420
11012013,11/01/2013,46,18805,21743
12012013,12/01/2013,67,19293,27081
01012014,01/01/2014,71,22845,37254
02012014,02/01/2014,84,22028,38416
03012014,03/01/2014,69,19171,28251
04012014,04/01/2014,60,16618,20419
05012014,05/01/2014,33,17123,18055
06012014,06/01/2014,40,21225,17533
07012014,07/01/2014,49,22384,17265
08012014,08/01/2014,37,19473,16303
09012014,09/01/2014,26,15902,16047
10012014,10/01/2014,50,15102,15453
11012014,11/01/2014,63,15158,17036
12012014,12/01/2014,64,14972,20963
01012015,01/01/2015,62,17455,31950
02012015,02/01/2015,58,16820,29940
03012015,03/01/2015,46,15174,24555
04012015,04/01/2015,56,13231,16734
05012015,05/01/2015,45,13113,14570
06012015,06/01/2015,48,17775,15027
07012015,07/01/2015,48,18961,14830
08012015,08/01/2015,49,17464,15183
09012015,09/01/2015,38,13083,13291
10012015,10/01/2015,31,11942,12608
11012015,11/01/2015,31,11841,14175
12012015,12/01/2015,41,12342,18111
01012016,01/01/2016,60,15202,26465
02012016,02/01/2016,51,14918,27006
03012016,03/01/2016,33,12150,19381
04012016,04/01/2016,39,9721,12448
05012016,05/01/2016,30,10034,12805
06012016,06/01/2016,28,14481,10895
08012016,08/01/2016,75,17514,13955
09012016,09/01/2016,71,12594,12224
12012016,12/01/2016,38,11626,17177
01012017,01/01/2017,78,14186,23167
02012017,02/01/2017,47,13155,21456
03012017,03/01/2017,35,12368,17712
04012017,04/01/2017,28,10513,13553
05012017,05/01/2017,36,10876,12529
06012017,06/01/2017,40,15521,12125
07012017,07/01/2017,40,17662,14138
08012017,08/01/2017,39,15770,12476
09012017,09/01/2017,30,10439,10276
10012017,10/01/2017,19,11753,13360
11012017,11/01/2017,17,11042,13799
12012017,12/01/2017,29,11330,14951
01012018,01/01/2018,29,13470,23485
02012018,02/01/2018,34,12458,20510
03012018,03/01/2018,28,10813,15390
04012018,04/01/2018,18,9685,12125
05012018,05/01/2018,33,10650,12887
06012018,06/01/2018,29,14289,10088
07012018,07/01/2018,29,16098,10996
08012018,08/01/2018,22,11651,9761
09012018,09/01/2018,23,9419,8686
10012018,10/01/2018,17,9416,8796
11012018,11/01/2018,30,8623,10312
12012018,12/01/2018,33,9733,13048
01012019,01/01/2019,35,13206,17653
07012019,07/01/2019,34,14692,10119
07012019,07/01/2019,34,14692,10119
08012019,08/01/2019,12,10366,8634
09012019,09/01/2019,7,8094,7578
11012019,11/01/2019,71,8106,10314
12012019,12/01/2019,24,8320,11766
01012020,01/01/2020,30,11260,18384
02012020,02/01/2020,38,10054,17381
03012020,03/01/2020,2,9255,12986
04012020,04/01/2020,93,144007,117545
05012020,05/01/2020,79,141824,117375
